,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
0,BDFDB,AK,2015,21,Alaska,35.0278036,16,3345612
1,BDPRP,AK,2015,4,Alaska,35.0278036,16,3345612
2,BFFDB,AK,2015,21,Alaska,35.0278036,16,3345612
3,BFPRP,AK,2015,4,Alaska,35.0278036,16,3345612
4,CLPRB,AK,2015,17747,Alaska,35.0278036,16,3345612
5,CLPRK,AK,2015,15.073,Alaska,35.0278036,16,3345612
6,CLPRP,AK,2015,1177,Alaska,35.0278036,16,3345612
7,COPRK,AK,2015,5.717,Alaska,35.0278036,16,3345612
8,EMFDB,AK,2015,0,Alaska,35.0278036,16,3345612
9,ENPRP,AK,2015,0,Alaska,35.0278036,16,3345612
10,GETCB,AK,2015,186,Alaska,35.0278036,16,3345612
11,HYTCB,AK,2015,14621,Alaska,35.0278036,16,3345612
12,NCPRB,AK,2015,16298,Alaska,35.0278036,16,3345612
13,NGMPB,AK,2015,380887,Alaska,35.0278036,16,3345612
14,NGMPK,AK,2015,1.108,Alaska,35.0278036,16,3345612
15,NGMPP,AK,2015,343625,Alaska,35.0278036,16,3345612
16,NUETB,AK,2015,0,Alaska,35.0278036,16,3345612
17,PAPRB,AK,2015,1007501,Alaska,35.0278036,16,3345612
18,PAPRP,AK,2015,176229,Alaska,35.0278036,16,3345612
19,REPRB,AK,2015,23807,Alaska,35.0278036,16,3345612
20,SOTCB,AK,2015,3,Alaska,35.0278036,16,3345612
21,TEPRB,AK,2015,1429942,Alaska,35.0278036,16,3345612
22,TETCB,AK,2015,614242,Alaska,35.0278036,16,3345612
23,WDEXB,AK,2015,0,Alaska,35.0278036,16,3345612
24,WDPRB,AK,2015,6865,Alaska,35.0278036,16,3345612
25,WDTCB,AK,2015,6865,Alaska,35.0278036,16,3345612
26,WSTCB,AK,2015,622,Alaska,35.0278036,16,3345612
27,WWPRB,AK,2015,7488,Alaska,35.0278036,16,3345612
28,WYTCB,AK,2015,1488,Alaska,35.0278036,16,3345612
29,BDFDB,AL,2015,1933,Alabama,119.2008893,164,1864412
30,BDPRP,AL,2015,356,Alabama,119.2008893,164,1864412
31,BFFDB,AL,2015,1933,Alabama,119.2008893,164,1864412
32,BFPRP,AL,2015,356,Alabama,119.2008893,164,1864412
33,CLPRB,AL,2015,331420,Alabama,119.2008893,164,1864412
34,CLPRK,AL,2015,25.122,Alabama,119.2008893,164,1864412
35,CLPRP,AL,2015,13193,Alabama,119.2008893,164,1864412
36,COPRK,AL,2015,5.717,Alabama,119.2008893,164,1864412
37,EMFDB,AL,2015,0,Alabama,119.2008893,164,1864412
38,ENPRP,AL,2015,0,Alabama,119.2008893,164,1864412
39,GETCB,AL,2015,141,Alabama,119.2008893,164,1864412
40,HYTCB,AL,2015,91902,Alabama,119.2008893,164,1864412
41,NCPRB,AL,2015,92144,Alabama,119.2008893,164,1864412
42,NGMPB,AL,2015,182481,Alabama,119.2008893,164,1864412
43,NGMPK,AL,2015,1.085,Alabama,119.2008893,164,1864412
44,NGMPP,AL,2015,168246,Alabama,119.2008893,164,1864412
45,NUETB,AL,2015,438728,Alabama,119.2008893,164,1864412
46,PAPRB,AL,2015,55421,Alabama,119.2008893,164,1864412
47,PAPRP,AL,2015,9694,Alabama,119.2008893,164,1864412
48,REPRB,AL,2015,258955,Alabama,119.2008893,164,1864412
49,SOTCB,AL,2015,101,Alabama,119.2008893,164,1864412
50,TEPRB,AL,2015,1267004,Alabama,119.2008893,164,1864412
51,TETCB,AL,2015,1917138,Alabama,119.2008893,164,1864412
